,alg,AUC,prec@5,prec@10,MAP,recall@5,recall@10,NDCG,MRR,filled_with_popular,clean_fake_method
23,(MyMediaLite) MultiCoreBPRMF TrueRanked 1 Item,0.51976,0.00435,0.00522,0.00734,0.00881,0.0215,0.01197,0.01287,True,Ranked 1 Item
24,(MyMediaLite) SoftMarginRankingMFTrueRanked 1 Item,0.52071,0.00493,0.00522,0.00546,0.00844,0.0228,0.01122,0.0152,True,Ranked 1 Item
25,(MyMediaLite) WeightedBPRMFTrueRanked 1 Item,0.51753,0.00464,0.00435,0.00717,0.00762,0.01933,0.01155,0.01569,True,Ranked 1 Item
26,(MyMediaLite) MostPopularByAttributesTrueRanked 1 Item,0.51752,0.0058,0.00435,0.00568,0.01396,0.01933,0.01029,0.0133,True,Ranked 1 Item
27,(MyMediaLite) BPRSLIMTrueRanked 1 Item,0.51897,0.00464,0.00478,0.00491,0.00638,0.02087,0.01008,0.01231,True,Ranked 1 Item
28,(MyMediaLite) UserKNNTrueRanked Only 10,0.51903,0.0058,0.00478,0.0051,0.00977,0.02087,0.01049,0.01352,True,Ranked Only 10
29,(MyMediaLite) BPRMFTrueRanked Only 10,0.51959,0.00783,0.00565,0.00726,0.01457,0.02004,0.012,0.01412,True,Ranked Only 10
30,(MyMediaLite) ItemAttributeKNN TrueRanked Only 10,0.51944,0.00551,0.00565,0.00444,0.01182,0.02004,0.00961,0.011,True,Ranked Only 10
31,(MyMediaLite) ItemKNNTrueRanked Only 10,0.5181,0.00464,0.00507,0.00375,0.00619,0.01918,0.00882,0.01139,True,Ranked Only 10
32,(MyMediaLite) MostPopularTrueRanked Only 10,0.52037,0.00696,0.00565,0.00828,0.01271,0.0226,0.01366,0.01967,True,Ranked Only 10
33,(MyMediaLite) RandomTrueRanked Only 10,0.51833,0.00522,0.00435,0.00377,0.01103,0.01708,0.00847,0.01055,True,Ranked Only 10
34,(MyMediaLite) UserAttributeKNNTrueRanked Only 10,0.51836,0.00435,0.00435,0.00478,0.00861,0.01708,0.00931,0.01136,True,Ranked Only 10
35,(MyMediaLite) WRMFTrueRanked Only 10,0.52085,0.00348,0.00551,0.00409,0.00567,0.02429,0.01004,0.01095,True,Ranked Only 10
36,(MyMediaLite) ZeroTrueRanked Only 10,0.5183,0.00696,0.00609,0.00843,0.01157,0.0194,0.01327,0.02023,True,Ranked Only 10
